FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
Kathmandu,Tarakeshwor Nagarpalika,27010,"5,415","5,415",100%,"2,812",52%,"2,477",46%
Kathmandu,Tokha Nagarpalika,27011,"1,691","1,691",100%,832,49%,732,43%
Kavrepalanchok,Banepa Nagarpalika,24001,"6,414","6,414",100%,"4,488",70%,"4,085",64%
Kavrepalanchok,Bethanchowk Gaunpalika,24002,"3,717","3,717",100%,"3,316",89%,"2,779",75%
Kavrepalanchok,Bhumlu Gaunpalika,24003,"5,896","5,896",100%,"5,548",94%,"5,099",86%
Kavrepalanchok,Chaurideurali Gaunpalika,24004,"5,678","5,678",100%,"5,033",89%,"4,491",79%
Kavrepalanchok,Dhulikhel Nagarpalika,24005,"5,305","5,305",100%,"3,970",75%,"3,374",64%
Kavrepalanchok,Khanikhola Gaunpalika,24006,"2,580","2,580",100%,"2,481",96%,"2,039",79%
Kavrepalanchok,Mahabharat Gaunpalika,24007,"2,691","2,691",100%,"2,607",97%,"2,418",90%
Kavrepalanchok,Mandandeupur Nagarpalika,24008,"8,751","8,751",100%,"8,034",92%,"7,107",81%
Kavrepalanchok,Namobuddha Nagarpalika,24009,"6,542","6,542",100%,"5,072",78%,"4,033",62%
Kavrepalanchok,Panauti Nagarpalika,24010,"7,980","7,980",100%,"5,988",75%,"5,366",67%
Kavrepalanchok,Panchkhal Nagarpalika,24011,"9,128","9,128",100%,"7,812",86%,"6,589",72%
Kavrepalanchok,Roshi Gaunpalika,24012,"5,464","5,464",100%,"4,745",87%,"4,086",75%
Kavrepalanchok,Temal Gaunpalika,24013,"4,054","4,054",100%,"3,621",89%,"3,226",80%
Khotang,Ainselukhark Gaunpalika,13001,775,755,97%,445,57%,351,45%
Khotang,Barahapokhari Gaunpalika,13002,475,469,99%,367,77%,269,57%
Khotang,Diprung Gaunpalika,13003,524,502,96%,458,87%,387,74%
Khotang,Halesi Tuwachung Nagarpalika,13004,"1,754","1,702",97%,"1,444",82%,"1,074",61%
Khotang,Jantedhunga Gaunpalika,13005,464,453,98%,342,74%,213,46%
Khotang,Kepilasagadhi Gaunpalika,13006,662,653,99%,447,68%,381,58%
Khotang,Khotehang Gaunpalika,13007,907,808,89%,651,72%,547,60%
Khotang,Lamidanda Gaunpalika,13008,839,801,95%,546,65%,389,46%
Khotang,Rupakot huwagadhi Nagarpalika,13009,"1,511","1,472",97%,"1,055",70%,844,56%
Khotang,Sakela Gaunpalika,13010,531,528,99%,371,70%,326,61%
Lalitpur,Bagmati Gaunpalika,25001,"3,219","3,219",100%,"2,870",89%,"2,519",78%
Lalitpur,Godawari Nagarpalika,25002,"8,320","8,320",100%,"3,869",47%,"3,510",42%
Lalitpur,Konjyosom Gaunpalika,25003,"2,251","2,129",95%,"1,990",88%,"1,660",74%
Lalitpur,Lalitpur Mahanagarpalika,25004,"6,629","6,433",97%,"1,627",25%,"1,178",18%
Lalitpur,Mahalaxmi Nagarpalika,25005,"3,180","3,180",100%,"1,328",42%,"1,230",39%
Lalitpur,Mahankal Gaunpalika,25006,"2,343","2,270",97%,"2,041",87%,"1,746",75%
Lamjung,Besishahar Nagarpalika,37001,"1,321","1,321",100%,927,70%,782,59%
Lamjung,Dordi Gaunpalika,37002,"2,261","2,261",100%,"1,691",75%,"1,206",53%
Lamjung,Dudhpokhari Gaunpalika,37003,"2,206","2,206",100%,"1,824",83%,"1,340",61%
Lamjung,Kwholasothar Gaunpalika,37004,314,314,100%,140,45%,125,40%
Lamjung,MadhyaNepal Nagarpalika,37005,"1,526","1,526",100%,"1,002",66%,777,51%
Lamjung,Marsyangdi Gaunpalika,37006,"1,074","1,074",100%,739,69%,616,57%
Lamjung,Rainas Nagarpalika,37007,"3,082","3,082",100%,"2,435",79%,"1,836",60%
Lamjung,Sundarbazar Nagarpalika,37008,"2,269","2,269",100%,"1,649",73%,"1,254",55%
Makwanpur,Bagmati Gaunpalika,31001,"4,225","2,430",58%,"2,291",54%,"1,768",42%
Makwanpur,Bakaiya Gaunpalika,31002,"5,568","3,827",69%,"3,104",56%,"1,886",34%
Makwanpur,Bhimphedi Gaunpalika,31003,"3,519","2,781",79%,"2,535",72%,"2,273",65%
Makwanpur,Hetauda Upamahanagarpalika,31004,"6,575","5,275",80%,"3,730",57%,"3,278",50%
Makwanpur,Indrasarowar Gaunpalika,31005,"2,965","2,671",90%,"2,353",79%,"1,872",63%
Makwanpur,Kailash Gaunpalika,31006,"2,134","1,896",89%,"1,788",84%,"1,622",76%
Makwanpur,Makawanpurgadhi Gaunpalika,31007,"3,203","2,049",64%,"1,802",56%,"1,506",47%
Makwanpur,Manahari Gaunpalika,31008,"3,066","1,938",63%,"1,643",54%,"1,256",41%
Makwanpur,Raksirang Gaunpalika,31009,"2,219","1,675",75%,"1,563",70%,"1,349",61%
Makwanpur,Thaha Nagarpalika,31010,"7,142","6,442",90%,"5,744",80%,"4,838",68%
Myagdi,Annapurna Gaunpalika,43001,124,124,100%,82,66%,72,58%
Myagdi,Beni Nagarpalika,43002,448,448,100%,263,59%,246,55%
Myagdi,Dhaulagiri Gaunpalika,43003,34,34,100%,25,74%,10,29%
Myagdi,Malika Gaunpalika,43004,40,40,100%,32,80%,31,78%
Myagdi,Mangala Gaunpalika,43005,156,156,100%,126,81%,116,74%
Myagdi,Raghuganga Gaunpalika,43006,148,148,100%,96,65%,83,56%
Nawalparasi,Bardaghat Nagarpalika,48001,4,4,100%,4,100%,4,100%
Nawalparasi,Binayee Tribeni Gaunpalika,48002,69,67,97%,65,94%,69,100%
Nawalparasi,Bulingtar Gaunpalika,48003,265,265,100%,261,98%,260,98%
Nawalparasi,Bungdikali Gaunpalika,48004,73,73,100%,71,97%,71,97%
Nawalparasi,Devchuli Nagarpalika,48005,178,178,100%,174,98%,173,97%
Nawalparasi,Gaidakot Nagarpalika,48006,49,49,100%,46,94%,46,94%
Nawalparasi,Hupsekot Gaunpalika,48007,141,141,100%,139,99%,139,99%
Nawalparasi,Kawasoti Nagarpalika,48008,4,4,100%,4,100%,3,75%
Nawalparasi,Madhyabindu Nagarpalika,48009,88,88,100%,82,93%,79,90%
Nawalparasi,Palhi Nandan Gaunpalika,48020,4,4,100%,4,100%,4,100%
Nawalparasi,Pratappur Gaunpalika,48030,3,3,100%,3,100%,3,100%
Nawalparasi,Ramgram Nagarpalika,48012,1,1,100%,1,100%,1,100%
Nawalparasi,Sarawal Gaunpalika,48050,3,3,100%,3,100%,3,100%
Nawalparasi,Sunwal Nagarpalika,48060,2,2,100%,2,100%,2,100%
Nawalparasi,Susta Gaunpalika,48070,3,2,67%,2,67%,2,67%
Nuwakot,Belkotgadhi Nagarpalika,28001,"10,952","10,952",100%,"10,100",92%,"8,265",75%
Nuwakot,Bidur Nagarpalika,28002,"12,584","12,584",100%,"11,697",93%,"10,156",81%
Nuwakot,Dupcheshwar Gaunpalika,28003,"5,771","5,771",100%,"5,611",97%,"5,362",93%
Nuwakot,Kakani Gaunpalika,28004,"6,596","6,596",100%,"6,250",95%,"5,491",83%
Nuwakot,Kispang Gaunpalika,28005,"4,690","4,690",100%,"4,541",97%,"4,349",93%
Nuwakot,Likhu Gaunpalika,28006,"5,133","5,133",100%,"4,678",91%,"4,205",82%
Nuwakot,Meghang Gaunpalika,28007,"4,663","4,663",100%,"4,228",91%,"4,137",89%
Nuwakot,Panchakanya Gaunpalika,28008,"4,457","4,457",100%,"4,256",95%,"3,882",87%
Nuwakot,Shivapuri Gaunpalika,28009,"6,293","6,293",100%,"6,005",95%,"5,450",87%
Nuwakot,Suryagadhi Gaunpalika,28010,"5,155","5,155",100%,"4,828",94%,"4,429",86%
Nuwakot,Tadi Gaunpalika,28011,"4,553","4,553",100%,"4,357",96%,"4,141",91%
Nuwakot,Tarkeshwar Gaunpalika,28012,"4,646","4,646",100%,"4,309",93%,"4,057",87%
Okhaldhunga,Champadevi Gaunpalika,12001,"3,634","3,587",99%,"3,444",95%,"3,319",91%
Okhaldhunga,Chisankhugadhi Gaunpalika,12002,"1,113","1,112",100%,"1,040",93%,970,87%
Okhaldhunga,Khijidemba Gaunpalika,12003,"2,952","2,941",100%,"2,838",96%,"2,684",91%
Okhaldhunga,Likhu Gaunpalika,12004,"3,387","3,380",100%,"3,285",97%,"3,194",94%
Okhaldhunga,Manebhanjyang Gaunpalika,12005,"1,699","1,681",99%,"1,552",91%,"1,407",83%
Okhaldhunga,Molung Gaunpalika,12006,"3,220","3,204",100%,"3,115",97%,"2,894",90%
Okhaldhunga,Siddhicharan Nagarpalika,12007,"2,626","2,618",100%,"2,389",91%,"2,232",85%
Okhaldhunga,Sunkoshi Gaunpalika,12008,"3,505","3,492",100%,"3,368",96%,"3,186",91%
Palpa,Bagnaskali Gaunpalika,47001,549,549,100%,326,59%,274,50%
Palpa,Mathagadhi Gaunpalika,47002,570,570,100%,358,63%,289,51%
Palpa,Nisdi Gaunpalika,47003,699,699,100%,569,81%,497,71%
Palpa,Purbakhola Gaunpalika,47004,285,285,100%,187,66%,160,56%
Palpa,Rainadevi Chhahara Gaunpalika,47005,372,372,100%,146,39%,131,35%
Palpa,Rambha Gaunpalika,47006,315,315,100%,213,68%,202,64%
Palpa,Rampur Nagarpalika,47007,320,320,100%,200,63%,143,45%
Palpa,Ribdikot Gaunpalika,47008,680,680,100%,329,48%,276,41%
Palpa,Tansen Nagarpalika,47009,484,484,100%,313,65%,259,54%
Palpa,Tinau Gaunpalika,47010,333,333,100%,231,69%,198,59%
Parbat,Bihadi Gaunpalika,44001,"1,196","1,196",100%,811,68%,567,47%
Parbat,Jaljala Gaunpalika,44002,203,203,100%,115,57%,105,52%
Parbat,Kushma Nagarpalika,44003,910,910,100%,702,77%,593,65%
Parbat,Mahashila Gaunpalika,44004,395,395,100%,277,70%,212,54%
Parbat,Modi Gaunpalika,44005,489,489,100%,356,73%,305,62%
Parbat,Painyu Gaunpalika,44006,827,827,100%,490,59%,392,47%
Parbat,Phalebas Nagarpalika,44007,"1,477","1,477",100%,"1,017",69%,653,44%
Ramechhap,Doramba Gaunpalika,21001,"4,950","4,923",99%,"3,873",78%,"3,463",70%
Ramechhap,Gokulganga Gaunpalika,21002,"6,461","6,461",100%,"5,935",92%,"5,398",84%
Ramechhap,Khadadevi Gaunpalika,21003,"6,192","6,192",100%,"5,097",82%,"4,738",77%
Ramechhap,Likhu Gaunpalika,21004,"6,245","6,245",100%,"5,276",84%,"4,835",77%
Ramechhap,Manthali Nagarpalika,21005,"11,587","11,587",100%,"10,180",88%,"9,501",82%
Ramechhap,Ramechhap Nagarpalika,21006,"6,720","6,720",100%,"5,646",84%,"5,387",80%
Ramechhap,Sunapati Gaunpalika,21007,"4,848","4,848",100%,"4,002",83%,"3,559",73%
Ramechhap,Umakunda Gaunpalika,21008,"4,848","4,943",102%,"4,481",92%,"3,856",80%
Rasuwa,Gosaikunda Gaunpalika,29001,"1,904","1,885",99%,"1,816",95%,"1,648",87%
Rasuwa,Kalika Gaunpalika,29002,"2,582","2,580",100%,"2,494",97%,"2,450",95%
Rasuwa,Naukunda Gaunpalika,29003,"3,332","3,332",100%,"3,272",98%,"3,207",96%
Rasuwa,Aama Choodingmo Gaunpalika,29004,"2,003","2,003",100%,"1,833",92%,"1,624",81%
