District	Municipality	Ward	Partner Organization	Implementing Partner	Funding Organisation	Sector	Activity Type	Name of the Infrastructure	Activity Detail	Curriculum (for Trainings)	Activity Status	Unit (Indicator)	Planned#	Reached#	GaNaPa_Code	GaPaN_Ward_Code
Sindhupalchok	Tripura Sundari	3	JICA		JICA	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"	2 lots masons trainings in same VDCs		Completed	individuals	7	7	23012	23012-3
Sindhupalchok	Tripura Sundari	3	JICA		JICA	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"	2 lots masons trainings in same VDCs		Completed	individuals	6	6	23012	23012-3
Sindhupalchok	Tripura Sundari	3	JICA		JICA	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"	2 lots masons trainings in same VDCs		Completed	individuals	4	4	23012	23012-3
Sindhupalchok	Tripura Sundari	3	JICA		JICA	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"	2 lots masons trainings in same VDCs		Completed	individuals	3	3	23012	23012-3
Sindhupalchok	Tripura Sundari	3	JICA		JICA	Rural Housing and Community Infrastructure	Support - Door-to-door technical assistance	Continuous			Ongoing	households	1000	566	23012	23012-3
Sindhupalchok	Tripura Sundari	1	MC	CDECF	MC	Rural Housing and Community Infrastructure	Orientation - Household reconstruction orientation	1 session	mobilize team of technical and non technical person to household level for orientation on safer reconstruction and  (IEC) poster distribution.		Planned	households	592	0	23012	23012-1
Sindhupalchok	Tripura Sundari	5	SABAL	TUKI	USAID	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation	1 session			Completed	individuals	525	525	23012	23012-5
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up		Winterization Support - Conditional Cash Support via Voucher Redemption to purchase winterization materials.			households	419		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up		Winterization Support - Conditional Cash Support via Voucher Redemption to purchase winterization materials.			households	419		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up		Winterization Support - Conditional Cash Support via Voucher Redemption to purchase winterization materials.			households	419		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up		Winterization Support - Conditional Cash Support via Voucher Redemption to purchase winterization materials.			households	419		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up		Winterization Support - Conditional Cash Support via Voucher Redemption to purchase winterization materials.			households	419		23012	23012-1
