District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Makwanpur,Thaha,12,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,27,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,Tearund/DEC,"Water, Sanitation and Hygiene",Repair/Rehabilitation - Toilet,,Support in the construction of HH Toilet,,,households,27,,12,31010,31010-12
Makwanpur,Indrasarowar,1,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,26,,1,31005,31005-1
Makwanpur,Thaha,8,Tearfund,,RADO,Tearund/DEC,"Water, Sanitation and Hygiene",Repair/Rehabilitation - Toilet,,Support in the construction of HH Toilet,,,households,26,,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,,"1 engineer, 1 social mobilizer and Technical coordinator ( Senior Engineer), Generally 5 visits per house ( Lay out, DPC, Seal, Lintal, Roofing) ",,Completed,households,25,25,8,31010,31010-8
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,,"1 engineer, 1 social mobilizer and Technical coordinator ( Senior Engineer), Generally 5 visits per house ( Lay out, DPC, Seal, Lintal, Roofing) ",,Ongoing,households,25,20,12,31010,31010-12
Makwanpur,Thaha,8,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,Rs 50000per household,,Completed,households,25,25,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,Rs 90000per household,,Ongoing,households,25,24,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,Rs 110000per household,,Ongoing,households,25,25,8,31010,31010-8
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,Rs 50000per household,,Completed,households,25,24,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,Rs 90000per household,,Completed,households,25,24,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,Rs 110000per household,,Ongoing,households,25,24,12,31010,31010-12
Makwanpur,Thaha,7,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,7,31010,31010-7
Makwanpur,Thaha,8,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,8,31010,31010-8
Makwanpur,Thaha,11,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,11,31010,31010-11
