District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Lamjung,#N/A,#N/A,GWS,,GWS,GWS,Rural Housing and Community Infrastructure,Reconstruction - Reconstruction of houses,House,Reconstruction of the ex army house,,Completed,households,1,1,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GWS,,GWS,GWS,Rural Housing and Community Infrastructure,Reconstruction - Reconstruction of houses,House,Reconstruction of the ex army house,,Completed,households,1,1,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GWS,,GWS,GWS,Rural Housing and Community Infrastructure,Reconstruction - Reconstruction of houses,House,Reconstruction of the ex army house,,Completed,households,1,1,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GWS,,GWS,GWS,Rural Housing and Community Infrastructure,Reconstruction - Reconstruction of houses,House,Reconstruction of the ex army house,,Completed,households,1,1,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GWS,,GWS,GWS,Rural Housing and Community Infrastructure,Reconstruction - Reconstruction of houses,House,Reconstruction of the ex army house,,Completed,households,1,1,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,NRA,,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,29,29,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,17,17,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,7,7,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,2,2,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,9,9,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,78,78,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,18,18,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,1,1,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,7,7,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,20,20,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,6,6,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,4,4,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,10,10,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,10,10,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,8,8,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,14,14,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,4,4,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,19,19,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,26,26,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,11,11,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,9,9,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,13,13,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,GON-PAF,,,GON-PAF,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,3,3,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,NRA,,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Planned,households,30,,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,Tearfund,,INF,Tearfund,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,21,21,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,Tearfund,,INF,Tearfund,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,4,4,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,CHOICE,,CHOICE,CHOICE,Education,Reconstruction - Classrooms,Shree Sanskriti Sadan Secondary School,"Technical assistance, financial support - 10072813",,Completed,households,8,,#N/A,#N/A,#N/A
Lamjung,Rainas,4,CHOICE,,CHOICE,CHOICE,Education,Reconstruction - Classrooms,Shree Sarada Secondary School,"Technical assistance, financial support - 13096393",,Completed,households,10,,4,37007,37007-4
Lamjung,#N/A,#N/A,CHOICE,,CHOICE,CHOICE,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,14,,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,CHOICE,,CHOICE,CHOICE,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,1,,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,CHOICE,,CHOICE,CHOICE,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,8,,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,CHOICE,,CHOICE,CHOICE,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,1,,#N/A,#N/A,#N/A
Lamjung,#N/A,#N/A,CHOICE,,CHOICE,CHOICE,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,7 days Mason training ,DUDBC,Completed,households,1,,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Arghakhanchi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,20,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,24,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,26,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Gulmi,#N/A,#N/A,CSIDB,,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,25,#N/A,#N/A,#N/A
Palpa,#N/A,#N/A,CSIDB,,CSIDB,CSIDB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,25,24,#N/A,#N/A,#N/A
palpa,#N/A,#N/A,SakriyeS,,SakriyeS,SakriyeS,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,households,67,67,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,26,26,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,46,46,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,50,50,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,28,28,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,25,25,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,25,25,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,49,49,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,51,51,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,CSIDB,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,52,52,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,30,0,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,30,0,#N/A,#N/A,#N/A
Baglung,#N/A,#N/A,,,NRA,NRA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,,Completed,households,30,0,#N/A,#N/A,#N/A
Dolakha,#N/A,#N/A,CA,Community Based Resilient Shelter Programme in Dolakha,HURADEC,CA,Environment and Forestry,,Treatment Plant,,Other (specify in Comments),Completed,households,1,1,#N/A,#N/A,#N/A
Dolakha,#N/A,#N/A,CA,Community Based Resilient Shelter Programme in Dolakha,HURADEC,CA,Environment and Forestry,,Treatment Plant,,Other (specify in Comments),Completed,households,1,1,#N/A,#N/A,#N/A
Dolakha,#N/A,#N/A,CA,Community Based Resilient Shelter Programme in Dolakha,HURADEC,CA,Environment and Forestry,,Treatment Plant,,Other (specify in Comments),Completed,households,1,1,#N/A,#N/A,#N/A
Dolakha,Jiri,9,BC,Surakshit Ghar Technial Support Center,,BC,Rural Housing and Community Infrastructure,Reconstruction - Reconstruction of houses,,"1) Provide technical advice on safe construction to NRA beneficiaries and distribute approved NRA documentation;
2) Establish accessible technical support centers for Surakshit Ghar App users, to which they can come to get additional face-to-face technical assistance, including design services;
3) Provide remote technical assistance to Surakshit Ghar App users who live in the Municipalities where the centers are located; 
4) Provide safe house designs to NRA beneficiaries living the the Municipalities where the centers are located;
",,,households,,,9,22005,22005-9
Dolakha,Bhimeshwor,7,BC,Surakshit Ghar Technial Support Center,,BC,Rural Housing and Community Infrastructure,Reconstruction - Reconstruction of houses,,"1) Provide technical advice on safe construction to NRA beneficiaries and distribute approved NRA documentation;
2) Establish accessible technical support centers for Surakshit Ghar App users, to which they can come to get additional face-to-face technical assistance, including design services;
3) Provide remote technical assistance to Surakshit Ghar App users who live in the Municipalities where the centers are located; 
4) Provide safe house designs to NRA beneficiaries living the the Municipalities where the centers are located;
",,,households,,,7,22002,22002-7
Dolakha,Bhimeshwor,5,CCFRY,,Concern Center for Rural Youth,"Miral Welfare Foundation, Republic of Korea",Disaster Risk Management,Capacity building - Local institutions for DRM,,Increase capacity of local communities in disaster countermeasure through a committee and strengthen capacities to local committee people,Other (specify in Comments),,households,1,,5,22002,22002-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,3,3,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,3,3,5,22003,22003-5
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,3,3,8,22003,22003-8
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,6,22003,22003-6
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,2,22006,22006-2
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,5,22003,22003-5
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,8,22003,22003-8
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,4,22006,22006-4
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,2,2,5,22006,22006-5
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22003,22003-6
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,2,22006,22006-2
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,5,22003,22003-5
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,8,22003,22003-8
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,4,22006,22006-4
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,4,22006,22006-4
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,4,22006,22006-4
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,4,22006,22006-4
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,3,22006,22006-3
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,3,22006,22006-3
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,3,22006,22006-3
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,3,22006,22006-3
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,5,22006,22006-5
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,5,22006,22006-5
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,5,22006,22006-5
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22006,22006-6
