District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,District_code,GaPaN_Ward_Code
Bhaktapur,Changunarayan Nagarpalika,8,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,2,2,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,2,2,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,9,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,2,2,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,8,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,2,2,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,2,2,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,9,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,2,2,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Rural Housing and Community Infrastructure,Construction - Demonstration Construction,,constructions,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,households,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,households,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,households,1,1,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,DCA,DCA,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,households,1,1,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,DCA,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,households,1,1,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,DCA,"Water, Sanitation and Hygiene",Reconstruction - Toilet,,households,1,1,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,4,DCA,DCA,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,,households,1,1,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Education,Support - Material support to Schools,,units,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Education,Support - Material support to Schools,,units,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Education,Support - Material support to Schools,,units,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,DCA,Disaster Risk Management,Support - Integration of LDRMP and CDRMP into local development plans,,wards,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,1,1,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,8,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,SCI,SCI,Education,Reconstruction - Classrooms,,classrooms,1,1,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,4,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,33,33,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,4,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-4
Bhaktapur,Madhyapur Thimi Nagarpalika,6,ISAP,PWJ,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,30,30,26003,15,26003-6
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
Bhaktapur,Suryabinayak Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26004,15,26004-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26004,15,26004-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26004,15,26004-5
Bhaktapur,Suryabinayak Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26004,15,26004-5
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26003,15,26003-5
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26003,15,26003-5
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26003,15,26003-5
Bhaktapur,Madhyapur Thimi Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26003,15,26003-5
Bhaktapur,Changunarayan Nagarpalika,8,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-8
Bhaktapur,Suryabinayak Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,10,10,26004,15,26004-5
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
