District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,District_code,GaPaN_Ward_Code
Nuwakot,Bidur Nagarpalika,8,HFH,HFH,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Completed,households,1,1,28002,10,28002-8
Nuwakot,Bidur Nagarpalika,8,HFH,HFH,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Completed,households,1,1,28002,10,28002-8
Nuwakot,Bidur Nagarpalika,8,HFH,HFH,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,1,1,28002,10,28002-8
Nuwakot,Bidur Nagarpalika,8,HFH,HFH,Rural Housing and Community Infrastructure,Capacity building - Short training for social mobilizer,Completed,individuals,1,1,28002,10,28002-8
Nuwakot,Bidur Nagarpalika,8,HFH,HFH,Rural Housing and Community Infrastructure,Capacity building - Short training for social mobilizer,Completed,individuals,1,1,28002,10,28002-8
Nuwakot,Bidur Nagarpalika,8,HFH,HFH,Rural Housing and Community Infrastructure,Capacity building - Short training for social mobilizer,Completed,individuals,1,1,28002,10,28002-8
Nuwakot,Bidur Nagarpalika,1,MI,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,20,20,28002,10,28002-1
Nuwakot,Bidur Nagarpalika,1,MI,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,6,6,28002,10,28002-1
Nuwakot,Bidur Nagarpalika,8,HFN,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,216,216,28002,10,28002-8
Nuwakot,Bidur Nagarpalika,8,HFN,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,177,177,28002,10,28002-8
Nuwakot,Kispang Gaunpalika,4,HFN,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,99,99,28005,10,28005-4
Nuwakot,Kispang Gaunpalika,4,HFN,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,94,94,28005,10,28005-4
Nuwakot,Kispang Gaunpalika,5,WR,WR,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,282,282,28005,10,28005-5
Nuwakot,Kispang Gaunpalika,5,WR,WR,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,276,276,28005,10,28005-5
Nuwakot,Kispang Gaunpalika,5,WR,WR,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,households,276,276,28005,10,28005-5
Nuwakot,Panchakanya Gaunpalika,1,MI,ADH,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,199,199,28008,10,28008-1
Nuwakot,Panchakanya Gaunpalika,1,MI,ADH,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,191,191,28008,10,28008-1
Nuwakot,Panchakanya Gaunpalika,1,MI,ADH,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,households,125,125,28008,10,28008-1
Nuwakot,Tarkeshwar Gaunpalika,1,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,109,109,28012,10,28012-1
Nuwakot,Tarkeshwar Gaunpalika,1,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,109,109,28012,10,28012-1
Nuwakot,Tarkeshwar Gaunpalika,1,SCI,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,households,109,109,28012,10,28012-1
Nuwakot,Tarkeshwar Gaunpalika,2,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,67,67,28012,10,28012-2
Nuwakot,Tarkeshwar Gaunpalika,2,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,67,67,28012,10,28012-2
Nuwakot,Tarkeshwar Gaunpalika,2,SCI,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,households,67,67,28012,10,28012-2
Nuwakot,Tarkeshwar Gaunpalika,3,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,33,33,28012,10,28012-3
Nuwakot,Tarkeshwar Gaunpalika,3,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,33,33,28012,10,28012-3
Nuwakot,Tarkeshwar Gaunpalika,3,SCI,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,households,33,33,28012,10,28012-3
Nuwakot,Tarkeshwar Gaunpalika,5,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,130,130,28012,10,28012-5
Nuwakot,Tarkeshwar Gaunpalika,5,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,130,130,28012,10,28012-5
Nuwakot,Tarkeshwar Gaunpalika,5,SCI,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,households,130,130,28012,10,28012-5
Nuwakot,Tarkeshwar Gaunpalika,6,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,households,10,10,28012,10,28012-6
Nuwakot,Tarkeshwar Gaunpalika,6,SCI,SCI,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,households,10,10,28012,10,28012-6
Nuwakot,Tarkeshwar Gaunpalika,6,SCI,#N/A,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,households,10,10,28012,10,28012-6
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Reconstruction - Other public infrastructure,Completed,constructions,1,1,28005,10,28005-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Reconstruction - Other public infrastructure,Completed,constructions,1,1,28005,10,28005-1
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Reconstruction - Other public infrastructure,Completed,constructions,1,1,28005,10,28005-3
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Reconstruction/rehabilitation - Medium and large scale irrigation scheme,Completed,irrigation schemes,1,1,28005,10,28005-1
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Reconstruction/rehabilitation - Medium and large scale irrigation scheme,Completed,irrigation schemes,1,1,28005,10,28005-3
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Reconstruction/rehabilitation - Medium and large scale irrigation scheme,Completed,irrigation schemes,1,1,28005,10,28005-1
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Reconstruction/rehabilitation - Small scale irrigation scheme,Completed,irrigation schemes,1,1,28005,10,28005-3
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,15,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,15,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,13,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,16,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,28,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,16,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,34,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,24,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,20,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,38,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,32,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,14,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,11,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,11,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,19,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,12,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,12,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,15,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,16,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,15,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,14,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,12,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,11,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,13,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,15,12,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,17,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,15,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,21,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,2,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,12,28010,10,28010-2
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Ongoing,households,17,12,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,17,17,28011,10,28011-1
Nuwakot,Likhu Gaunpalika,3,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,1,28006,10,28006-3
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,2,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,1,28005,10,28005-3
Nuwakot,Kispang Gaunpalika,5,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,1,28005,10,28005-5
Nuwakot,Tadi Gaunpalika,1,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,2,28011,10,28011-1
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,2,28010,10,28010-1
Nuwakot,Kakani Gaunpalika,7,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,1,28004,10,28004-7
Nuwakot,Kispang Gaunpalika,1,NRCS,ARC,Education,Support - Material support to Schools,Completed,units,2,2,28005,10,28005-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,15,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,18,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,12,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,12,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,17,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,10,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,10,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,16,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,13,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,13,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,10,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,14,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,33,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Planned,individuals,16,10,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,20,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,12,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,22,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,11,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,29,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,12,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Planned,individuals,16,10,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,15,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,48,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,8,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,10,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,9,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,12,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Planned,individuals,16,10,28005,10,28005-3
Nuwakot,Suryagadhi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,7,28010,10,28010-1
Nuwakot,Kispang Gaunpalika,5,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,19,28005,10,28005-5
Nuwakot,Likhu Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,8,28006,10,28006-3
Nuwakot,Tadi Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,11,28011,10,28011-1
Nuwakot,Kispang Gaunpalika,1,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,7,28005,10,28005-1
Nuwakot,Kakani Gaunpalika,7,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,17,13,28004,10,28004-7
Nuwakot,Suryagadhi Gaunpalika,4,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,16,16,28010,10,28010-4
Nuwakot,Kispang Gaunpalika,3,NRCS,Spanish RC,Employment and Livelihood,Capacity building - Skill development trainings,Planned,individuals,16,10,28005,10,28005-3
